enzyme	gtpred_enzyme	length	identity	gaps	score
Ct_71E5	UGT88A1	469	33.0	4.9	592.0
Ct_71E5	UGT72E2	475	30.7	6.1	451.0
Ct_71E5	UGT72E3	475	30.3	6.1	453.0
Ct_71E5	UGT72E1	471	30.4	7.4	455.0
Ct_71E5	UGT72D1	476	34.5	6.3	551.0
Ct_71E5	UGT72C1	448	31.0	5.1	430.0
Ct_71E5	UGT72B3	469	36.7	5.3	634.0
Ct_71E5	UGT72B1	465	36.8	6.0	616.0
Ct_71E5	UGT73C3	379	32.7	9.8	351.0
Ct_71E5	UGT73C4	367	31.1	8.7	336.0
Ct_71E5	UGT73C5	375	31.5	7.5	363.0
Ct_71E5	UGT73C6	486	27.0	6.8	341.0
Ct_71E5	UGT73C1	487	27.1	7.4	328.0
Ct_71E5	UGT73C7	364	28.8	7.4	291.0
Ct_71E5	UGT73B2	215	36.3	8.4	318.0
Ct_71E5	UGT73B3	373	29.0	8.3	322.0
Ct_71E5	UGT73B1	204	39.7	6.9	355.0
Ct_71E5	UGT73B4	219	40.2	7.8	362.0
Ct_71E5	UGT73B5	218	38.1	8.3	334.0
Ct_71E5	UGT89B1	267	36.3	8.2	331.0
Ct_71E5	UGT89C1	304	32.2	6.9	341.0
Ct_71E5	VVGT1	305	27.5	7.9	222.0
Ct_71E5	UGT76C4	297	29.0	8.8	255.0
Dc_71F5	UGT76E5	243	34.2	7.8	258.0
Dc_71F5	UGT76E4	344	31.7	8.4	330.0
Dc_71F5	UGT76E1	395	30.4	6.6	347.0
Dc_71F5	UGT76E2	291	33.7	6.5	359.0
Dc_71F5	UGT76E12	402	30.6	5.2	372.0
Dc_71F5	UGT76E11	309	34.3	6.1	355.0
Dc_71F5	UGT85A5	318	30.5	8.8	263.0
Dc_71F5	UGT85A4	430	27.2	7.9	271.0
Dc_71F5	UGT84A3	461	28.0	7.6	293.0
Dc_71F5	UGT84A4	359	28.7	7.2	279.0
Dc_71F5	UGT84A2	483	25.5	7.2	252.0
Dc_71F5	UGT84A1	202	34.7	4.5	301.0
Dc_71F5	UGT84B1	286	33.9	10.5	247.0
Dc_71F5	UGT84B2	281	34.9	8.9	286.0
Dc_71F5	UGT75B1	273	32.2	4.8	333.0
Dc_71F5	UGT75D1	403	28.8	6.2	313.0
Dc_71F5	UGT74F1	221	32.6	10.0	233.0
Dc_71F5	UGT74F2	285	32.3	10.2	247.0
Dc_71F5	UGT74B1	221	33.5	10.4	208.0
Dc_71F5	UGT78D2	370	27.8	8.9	234.0
Dc_71F5	UGT78D1	311	28.0	8.0	211.0
Dc_71F5	UGT71C1	493	39.1	6.9	739.0
Dc_71F5	UGT71C2	478	41.6	7.3	752.0
Dc_71F5	UGT71C3	493	40.0	6.5	771.0
Dc_71F5	UGT71C4	484	43.0	7.6	790.0
Dc_71F5	UGT71C5	493	40.0	6.7	776.0
Dc_71F5	UGT71B8	485	42.7	3.1	906.0
Dc_71F5	UGT71B6	487	44.1	4.7	896.0
Dc_71F5	UGT71B5	485	42.5	3.3	906.0
Dc_71F5	UGT71B1	484	41.7	3.9	891.0
Dc_71F5	UGT88A1	414	35.5	6.0	591.0
Dc_71F5	UGT72E2	438	31.5	7.1	449.0
Dc_71F5	UGT72E3	472	31.1	8.1	462.0
Dc_71F5	UGT72E1	471	29.1	6.4	467.0
Dc_71F5	UGT72D1	480	31.5	6.2	481.0
Dc_71F5	UGT72C1	463	29.8	6.5	461.0
Dc_71F5	UGT72B3	481	34.3	6.0	582.0
Dc_71F5	UGT72B1	476	34.2	6.7	573.0
Dc_71F5	UGT73C3	497	27.8	7.4	384.0
Dc_71F5	UGT73C4	492	25.6	5.9	368.0
Dc_71F5	UGT73C5	498	27.1	6.8	383.0
Dc_71F5	UGT73C6	489	27.0	5.9	379.0
Dc_71F5	UGT73C1	492	28.3	7.3	366.0
Dc_71F5	UGT73C7	490	26.7	6.3	371.0
Dc_71F5	UGT73B2	380	31.8	7.6	339.0
Dc_71F5	UGT73B3	290	34.1	7.6	314.0
Dc_71F5	UGT73B1	273	36.3	7.0	339.0
Dc_71F5	UGT73B4	407	32.4	7.6	390.0
Dc_71F5	UGT73B5	403	33.5	8.4	394.0
Dc_71F5	UGT89B1	199	37.2	6.5	311.0
Dc_71F5	UGT89C1	269	31.2	6.3	299.0
Dc_71F5	VVGT1	356	28.9	8.1	249.0
Dc_71F5	UGT76C4	296	31.1	5.4	286.0
Fe_71U1	UGT76E5	472	26.7	8.9	229.0
Fe_71U1	UGT76E4	475	25.9	7.4	312.0
Fe_71U1	UGT76E1	478	27.8	9.0	316.0
Fe_71U1	UGT76E2	477	26.6	7.5	307.0
Fe_71U1	UGT76E12	475	28.6	8.4	345.0
Fe_71U1	UGT76E11	372	32.0	8.9	337.0
Fe_71U1	UGT85A5	471	30.1	9.6	275.0
Fe_71U1	UGT85A4	474	29.5	9.7	298.0
Fe_71U1	UGT84A3	390	27.4	7.4	276.0
Fe_71U1	UGT84A4	385	26.8	7.3	257.0
Fe_71U1	UGT84A2	385	26.8	7.5	249.0
Fe_71U1	UGT84A1	325	29.5	6.5	315.0
Fe_71U1	UGT84B1	285	35.1	8.8	289.0
Fe_71U1	UGT84B2	270	35.2	8.1	299.0
Fe_71U1	UGT75B1	290	32.1	4.8	356.0
Fe_71U1	UGT75D1	471	25.3	4.5	316.0
Fe_71U1	UGT74F1	399	27.1	8.8	258.0
Fe_71U1	UGT74F2	400	28.5	8.8	294.0
Fe_71U1	UGT74B1	486	28.8	10.3	219.0
Fe_71U1	UGT78D2	393	30.5	9.7	242.0
Fe_71U1	UGT78D1	415	27.7	9.6	196.0
Fe_71U1	UGT71C1	483	41.6	5.4	813.0
Fe_71U1	UGT71C2	483	42.9	4.8	846.0
Fe_71U1	UGT71C3	486	42.4	5.1	849.0
Fe_71U1	UGT71C4	490	43.1	5.9	903.0
Fe_71U1	UGT71C5	492	44.1	6.7	857.0
Fe_71U1	UGT71B8	485	40.0	4.3	811.0
Fe_71U1	UGT71B6	480	41.5	4.4	832.0
Fe_71U1	UGT71B5	483	42.2	4.1	875.0
Fe_71U1	UGT71B1	482	39.8	4.8	840.0
Fe_71U1	UGT88A1	482	35.1	5.2	649.0
Fe_71U1	UGT72E2	471	32.3	7.2	506.0
Fe_71U1	UGT72E3	473	31.7	7.2	491.0
Fe_71U1	UGT72E1	468	32.7	5.3	522.0
Fe_71U1	UGT72D1	484	32.2	6.6	496.0
Fe_71U1	UGT72C1	456	30.3	5.3	413.0
Fe_71U1	UGT72B3	473	38.5	7.0	633.0
Fe_71U1	UGT72B1	473	35.7	5.1	606.0
Fe_71U1	UGT73C3	494	30.4	9.1	359.0
Fe_71U1	UGT73C4	494	28.7	8.3	337.0
Fe_71U1	UGT73C5	494	29.6	8.9	322.0
Fe_71U1	UGT73C6	493	29.0	8.7	309.0
Fe_71U1	UGT73C1	495	29.5	8.5	360.0
Fe_71U1	UGT73C7	494	28.7	8.3	318.0
Fe_71U1	UGT73B2	403	34.0	8.4	356.0
Fe_71U1	UGT73B3	492	30.5	8.5	366.0
Fe_71U1	UGT73B1	358	32.4	7.5	327.0
Fe_71U1	UGT73B4	402	32.3	6.5	408.0
Fe_71U1	UGT73B5	491	30.5	7.1	392.0
Fe_71U1	UGT89B1	482	27.4	7.3	351.0
Fe_71U1	UGT89C1	277	31.4	4.7	328.0
Fe_71U1	VVGT1	374	28.6	9.4	218.0
Fe_71U1	UGT76C4	271	31.4	8.9	239.0
Fe_72AC1	UGT76E5	337	30.9	8.9	227.0
Fe_72AC1	UGT76E4	347	32.6	7.5	324.0
Fe_72AC1	UGT76E1	448	31.2	6.9	329.0
Fe_72AC1	UGT76E2	466	30.0	7.5	333.0
Fe_72AC1	UGT76E12	467	28.5	6.6	299.0
Fe_72AC1	UGT76E11	464	29.3	7.1	305.0
Fe_72AC1	UGT85A5	486	27.8	9.3	325.0
Fe_72AC1	UGT85A4	458	25.8	7.9	286.0
Fe_72AC1	UGT84A3	473	24.3	8.7	181.0
Fe_72AC1	UGT84A4	480	24.6	7.7	203.0
Fe_72AC1	UGT84A2	485	25.8	8.7	241.0
Fe_72AC1	UGT84A1	481	26.8	7.7	266.0
Fe_72AC1	UGT84B1	468	26.3	7.9	241.0
Fe_72AC1	UGT84B2	368	29.1	8.7	224.0
Fe_72AC1	UGT75B1	274	32.1	5.5	309.0
Fe_72AC1	UGT75D1	341	28.7	7.0	271.0
Fe_72AC1	UGT74F1	134	36.6	2.2	252.0
Fe_72AC1	UGT74F2	134	38.1	3.0	265.0
Fe_72AC1	UGT74B1	142	36.6	0.7	267.0
Fe_72AC1	UGT78D2	362	28.5	9.1	237.0
Fe_72AC1	UGT78D1	358	27.7	8.7	233.0
Fe_72AC1	UGT71C1	358	36.6	7.0	478.0
Fe_72AC1	UGT71C2	366	34.7	6.8	439.0
Fe_72AC1	UGT71C3	370	34.1	8.4	426.0
Fe_72AC1	UGT71C4	489	33.5	9.4	471.0
Fe_72AC1	UGT71C5	365	34.8	8.8	412.0
Fe_72AC1	UGT71B8	481	32.0	7.1	453.0
Fe_72AC1	UGT71B6	478	31.0	7.5	435.0
Fe_72AC1	UGT71B5	473	32.8	7.2	487.0
Fe_72AC1	UGT71B1	405	31.9	4.7	470.0
Fe_72AC1	UGT88A1	472	34.1	5.9	600.0
Fe_72AC1	UGT72E2	459	38.3	3.9	729.0
Fe_72AC1	UGT72E3	451	35.5	3.5	666.0
Fe_72AC1	UGT72E1	467	37.7	3.9	721.0
Fe_72AC1	UGT72D1	465	35.7	4.1	732.0
Fe_72AC1	UGT72C1	452	33.8	4.2	620.0
Fe_72AC1	UGT72B3	469	48.0	3.0	1111.0
Fe_72AC1	UGT72B1	469	50.7	2.8	1186.0
Fe_72AC1	UGT73C3	353	33.4	8.5	324.0
Fe_72AC1	UGT73C4	479	30.3	8.8	339.0
Fe_72AC1	UGT73C5	267	36.7	9.7	297.0
Fe_72AC1	UGT73C6	267	36.3	9.7	291.0
Fe_72AC1	UGT73C1	267	36.7	9.7	293.0
Fe_72AC1	UGT73C7	224	39.3	7.1	292.0
Fe_72AC1	UGT73B2	365	30.4	8.8	301.0
Fe_72AC1	UGT73B3	364	31.6	8.5	329.0
Fe_72AC1	UGT73B1	221	33.5	8.1	289.0
Fe_72AC1	UGT73B4	360	31.9	6.4	385.0
Fe_72AC1	UGT73B5	360	31.7	7.2	336.0
Fe_72AC1	UGT89B1	467	28.5	7.7	351.0
Fe_72AC1	UGT89C1	268	31.0	5.6	303.0
Fe_72AC1	VVGT1	132	35.6	3.8	234.0
Fe_72AC1	UGT76C4	465	26.2	7.3	257.0
Fe_72B19	UGT76E5	461	29.3	8.2	302.0
Fe_72B19	UGT76E4	465	31.2	8.0	376.0
Fe_72B19	UGT76E1	455	28.6	6.4	370.0
Fe_72B19	UGT76E2	451	28.8	6.7	367.0
Fe_72B19	UGT76E12	456	30.7	7.5	361.0
Fe_72B19	UGT76E11	463	32.8	7.8	381.0
Fe_72B19	UGT85A5	478	32.8	11.1	376.0
Fe_72B19	UGT85A4	470	30.6	7.2	386.0
Fe_72B19	UGT84A3	222	34.2	9.0	244.0
Fe_72B19	UGT84A4	466	27.0	9.9	226.0
Fe_72B19	UGT84A2	262	32.1	7.3	258.0
Fe_72B19	UGT84A1	475	28.0	8.4	292.0
Fe_72B19	UGT84B1	451	23.7	3.5	268.0
Fe_72B19	UGT84B2	448	24.8	3.6	266.0
Fe_72B19	UGT75B1	268	34.0	5.6	328.0
Fe_72B19	UGT75D1	246	35.4	6.1	309.0
Fe_72B19	UGT74F1	456	25.0	3.9	287.0
Fe_72B19	UGT74F2	442	26.2	4.1	301.0
Fe_72B19	UGT74B1	450	26.0	3.1	302.0
Fe_72B19	UGT78D2	352	30.4	8.8	272.0
Fe_72B19	UGT78D1	343	26.5	5.5	229.0
Fe_72B19	UGT71C1	359	36.8	8.9	415.0
Fe_72B19	UGT71C2	359	38.4	8.6	444.0
Fe_72B19	UGT71C3	361	39.1	9.1	428.0
Fe_72B19	UGT71C4	369	38.8	8.7	454.0
Fe_72B19	UGT71C5	371	39.4	9.7	424.0
Fe_72B19	UGT71B8	473	36.4	9.1	491.0
Fe_72B19	UGT71B6	465	32.5	7.1	465.0
Fe_72B19	UGT71B5	471	32.7	7.9	482.0
Fe_72B19	UGT71B1	463	33.3	6.3	481.0
Fe_72B19	UGT88A1	469	36.0	6.6	644.0
Fe_72B19	UGT72E2	451	40.6	4.2	780.0
Fe_72B19	UGT72E3	465	38.7	4.5	789.0
Fe_72B19	UGT72E1	466	39.3	4.5	734.0
Fe_72B19	UGT72D1	467	41.3	5.1	802.0
Fe_72B19	UGT72C1	447	36.9	4.0	654.0
Fe_72B19	UGT72B3	469	55.9	3.2	1280.0
Fe_72B19	UGT72B1	464	60.6	3.4	1380.0
Fe_72B19	UGT73C3	164	43.9	8.5	290.0
Fe_72B19	UGT73C4	192	39.1	7.3	290.0
Fe_72B19	UGT73C5	212	42.5	10.4	293.0
Fe_72B19	UGT73C6	186	40.9	7.0	273.0
Fe_72B19	UGT73C1	164	43.3	8.5	277.0
Fe_72B19	UGT73C7	150	48.0	7.3	303.0
Fe_72B19	UGT73B2	220	39.1	9.1	304.0
Fe_72B19	UGT73B3	206	39.3	9.2	304.0
Fe_72B19	UGT73B1	203	41.4	6.9	309.0
Fe_72B19	UGT73B4	205	42.9	6.3	373.0
Fe_72B19	UGT73B5	205	41.0	7.8	349.0
Fe_72B19	UGT89B1	462	32.9	8.0	397.0
Fe_72B19	UGT89C1	214	35.5	4.2	322.0
Fe_72B19	VVGT1	357	31.7	8.7	318.0
Fe_72B19	UGT76C4	208	41.3	8.2	295.0
Fe_88J1	UGT76E5	225	35.1	8.9	244.0
Fe_88J1	UGT76E4	404	27.2	4.0	343.0
Fe_88J1	UGT76E1	225	37.8	5.8	307.0
Fe_88J1	UGT76E2	226	37.6	6.6	300.0
Fe_88J1	UGT76E12	401	25.9	3.7	305.0
Fe_88J1	UGT76E11	229	35.8	6.1	283.0
Fe_88J1	UGT85A5	420	31.7	6.9	326.0
Fe_88J1	UGT85A4	426	31.2	7.0	369.0
Fe_88J1	UGT84A3	363	28.1	5.8	324.0
Fe_88J1	UGT84A4	361	28.5	5.0	324.0
Fe_88J1	UGT84A2	361	28.8	5.0	329.0
Fe_88J1	UGT84A1	376	28.5	4.5	370.0
Fe_88J1	UGT84B1	312	30.4	6.4	331.0
Fe_88J1	UGT84B2	307	30.3	4.9	342.0
Fe_88J1	UGT75B1	304	31.2	5.3	356.0
Fe_88J1	UGT75D1	309	32.4	5.5	313.0
Fe_88J1	UGT74F1	308	33.1	8.4	302.0
Fe_88J1	UGT74F2	307	34.5	8.5	323.0
Fe_88J1	UGT74B1	205	35.6	5.9	284.0
Fe_88J1	UGT78D2	377	30.8	7.4	350.0
Fe_88J1	UGT78D1	391	28.6	6.1	329.0
Fe_88J1	UGT71C1	487	33.5	7.8	535.0
Fe_88J1	UGT71C2	484	33.5	7.0	558.0
Fe_88J1	UGT71C3	484	34.1	6.8	539.0
Fe_88J1	UGT71C4	482	34.6	5.8	556.0
Fe_88J1	UGT71C5	475	35.2	8.8	507.0
Fe_88J1	UGT71B8	485	33.8	5.8	567.0
Fe_88J1	UGT71B6	375	33.1	5.6	460.0
Fe_88J1	UGT71B5	484	35.5	5.6	608.0
Fe_88J1	UGT71B1	486	34.6	7.4	538.0
Fe_88J1	UGT88A1	474	43.7	4.6	881.0
Fe_88J1	UGT72E2	380	36.3	5.5	516.0
Fe_88J1	UGT72E3	425	35.3	5.6	550.0
Fe_88J1	UGT72E1	375	35.7	4.5	551.0
Fe_88J1	UGT72D1	464	33.4	5.0	553.0
Fe_88J1	UGT72C1	459	34.4	7.2	488.0
Fe_88J1	UGT72B3	481	36.4	7.9	616.0
Fe_88J1	UGT72B1	479	35.7	6.9	623.0
Fe_88J1	UGT73C3	373	32.4	6.7	400.0
Fe_88J1	UGT73C4	370	30.5	5.9	392.0
Fe_88J1	UGT73C5	392	31.1	5.9	402.0
Fe_88J1	UGT73C6	380	30.5	5.8	389.0
Fe_88J1	UGT73C1	273	34.4	6.2	370.0
Fe_88J1	UGT73C7	319	35.1	6.0	407.0
Fe_88J1	UGT73B2	381	34.4	6.6	408.0
Fe_88J1	UGT73B3	384	34.4	5.7	436.0
Fe_88J1	UGT73B1	357	31.4	4.8	397.0
Fe_88J1	UGT73B4	364	35.2	3.6	450.0
Fe_88J1	UGT73B5	399	34.6	4.5	461.0
Fe_88J1	UGT89B1	253	40.3	5.1	373.0
Fe_88J1	UGT89C1	264	36.4	4.5	380.0
Fe_88J1	VVGT1	381	29.7	6.6	367.0
Fe_88J1	UGT76C4	207	35.7	4.8	296.0
Fi_88A10	UGT76E5	231	37.2	10.0	254.0
Fi_88A10	UGT76E4	233	36.9	7.3	305.0
Fi_88A10	UGT76E1	471	28.5	7.4	341.0
Fi_88A10	UGT76E2	471	28.9	7.4	357.0
Fi_88A10	UGT76E12	469	29.4	7.7	335.0
Fi_88A10	UGT76E11	231	38.1	6.9	311.0
Fi_88A10	UGT85A5	374	34.2	9.4	339.0
Fi_88A10	UGT85A4	209	42.1	8.1	329.0
Fi_88A10	UGT84A3	368	29.6	7.3	312.0
Fi_88A10	UGT84A4	472	25.4	6.4	290.0
Fi_88A10	UGT84A2	368	31.0	7.6	321.0
Fi_88A10	UGT84A1	269	35.7	5.2	368.0
Fi_88A10	UGT84B1	349	30.7	7.2	304.0
Fi_88A10	UGT84B2	360	29.4	7.5	300.0
Fi_88A10	UGT75B1	361	30.7	5.5	360.0
Fi_88A10	UGT75D1	363	29.8	5.5	314.0
Fi_88A10	UGT74F1	374	31.3	9.4	317.0
Fi_88A10	UGT74F2	369	28.5	6.8	288.0
Fi_88A10	UGT74B1	212	39.2	9.4	281.0
Fi_88A10	UGT78D2	358	32.7	8.9	282.0
Fi_88A10	UGT78D1	372	29.8	7.8	277.0
Fi_88A10	UGT71C1	482	34.9	8.3	570.0
Fi_88A10	UGT71C2	483	36.2	8.1	596.0
Fi_88A10	UGT71C3	483	37.7	9.1	569.0
Fi_88A10	UGT71C4	488	35.5	9.4	516.0
Fi_88A10	UGT71C5	485	34.4	8.0	487.0
Fi_88A10	UGT71B8	473	37.0	7.0	619.0
Fi_88A10	UGT71B6	479	33.0	6.9	527.0
Fi_88A10	UGT71B5	478	35.1	5.4	614.0
Fi_88A10	UGT71B1	474	34.4	4.9	628.0
Fi_88A10	UGT88A1	472	51.9	4.4	1119.0
Fi_88A10	UGT72E2	455	33.8	3.5	649.0
Fi_88A10	UGT72E3	467	34.3	3.6	665.0
Fi_88A10	UGT72E1	468	35.9	2.8	698.0
Fi_88A10	UGT72D1	459	35.3	3.5	661.0
Fi_88A10	UGT72C1	454	35.7	4.4	635.0
Fi_88A10	UGT72B3	471	39.3	2.8	825.0
Fi_88A10	UGT72B1	471	38.9	2.5	842.0
Fi_88A10	UGT73C3	486	31.1	8.0	413.0
Fi_88A10	UGT73C4	485	30.1	7.6	424.0
Fi_88A10	UGT73C5	487	32.2	8.2	419.0
Fi_88A10	UGT73C6	485	31.5	7.6	390.0
Fi_88A10	UGT73C1	487	30.2	8.6	356.0
Fi_88A10	UGT73C7	487	30.2	8.4	372.0
Fi_88A10	UGT73B2	381	34.9	7.3	397.0
Fi_88A10	UGT73B3	379	35.6	6.6	404.0
Fi_88A10	UGT73B1	389	33.4	6.9	399.0
Fi_88A10	UGT73B4	404	35.4	5.9	467.0
Fi_88A10	UGT73B5	391	35.0	5.6	436.0
Fi_88A10	UGT89B1	473	29.0	7.0	343.0
Fi_88A10	UGT89C1	282	33.0	4.3	357.0
Fi_88A10	VVGT1	138	38.4	2.9	252.0
Fi_88A10	UGT76C4	465	28.0	6.7	324.0
Gj_71A23	UGT76E5	324	28.7	6.5	251.0
Gj_71A23	UGT76E4	450	27.3	5.8	351.0
Gj_71A23	UGT76E1	404	30.2	6.9	360.0
Gj_71A23	UGT76E2	378	29.9	4.8	367.0
Gj_71A23	UGT76E12	413	28.8	4.6	392.0
Gj_71A23	UGT76E11	363	31.4	4.7	382.0
Gj_71A23	UGT85A5	346	32.1	9.0	278.0
Gj_71A23	UGT85A4	331	28.1	4.5	299.0
Gj_71A23	UGT84A3	371	29.4	8.6	279.0
Gj_71A23	UGT84A4	368	28.5	6.8	279.0
Gj_71A23	UGT84A2	414	27.3	7.7	269.0
Gj_71A23	UGT84A1	352	30.7	5.7	337.0
Gj_71A23	UGT84B1	298	35.9	9.7	299.0
Gj_71A23	UGT84B2	385	30.4	9.4	313.0
Gj_71A23	UGT75B1	315	30.5	5.7	317.0
Gj_71A23	UGT75D1	390	27.7	5.6	353.0
Gj_71A23	UGT74F1	395	25.8	8.4	236.0
Gj_71A23	UGT74F2	398	30.9	10.8	259.0
Gj_71A23	UGT74B1	147	32.7	6.1	209.0
Gj_71A23	UGT78D2	334	29.0	7.2	236.0
Gj_71A23	UGT78D1	315	28.6	6.7	201.0
Gj_71A23	UGT71C1	488	40.6	5.7	788.0
Gj_71A23	UGT71C2	481	42.6	5.6	833.0
Gj_71A23	UGT71C3	487	42.5	6.0	823.0
Gj_71A23	UGT71C4	489	42.5	5.9	855.0
Gj_71A23	UGT71C5	490	41.0	5.3	851.0
Gj_71A23	UGT71B8	477	45.3	2.7	998.0
Gj_71A23	UGT71B6	476	48.7	2.3	1065.0
Gj_71A23	UGT71B5	476	46.4	1.3	1061.0
Gj_71A23	UGT71B1	478	45.0	2.7	1042.0
Gj_71A23	UGT88A1	478	35.1	5.6	628.0
Gj_71A23	UGT72E2	358	38.0	6.7	469.0
Gj_71A23	UGT72E3	366	34.7	6.3	433.0
Gj_71A23	UGT72E1	469	30.5	5.3	452.0
Gj_71A23	UGT72D1	358	36.6	4.2	479.0
Gj_71A23	UGT72C1	453	30.5	6.8	377.0
Gj_71A23	UGT72B3	468	35.0	5.3	560.0
Gj_71A23	UGT72B1	472	35.6	5.1	570.0
Gj_71A23	UGT73C3	488	27.0	7.2	323.0
Gj_71A23	UGT73C4	380	30.3	8.2	334.0
Gj_71A23	UGT73C5	490	27.3	7.3	344.0
Gj_71A23	UGT73C6	483	28.2	7.0	346.0
Gj_71A23	UGT73C1	372	30.9	8.3	326.0
Gj_71A23	UGT73C7	489	26.6	7.2	334.0
Gj_71A23	UGT73B2	371	32.1	9.4	309.0
Gj_71A23	UGT73B3	367	30.8	7.6	324.0
Gj_71A23	UGT73B1	274	35.8	8.4	324.0
Gj_71A23	UGT73B4	370	31.1	7.0	345.0
Gj_71A23	UGT73B5	371	32.1	8.4	343.0
Gj_71A23	UGT89B1	196	39.3	6.6	303.0
Gj_71A23	UGT89C1	275	34.9	6.5	321.0
Gj_71A23	VVGT1	299	28.8	8.4	220.0
Gj_71A23	UGT76C4	208	33.7	6.2	247.0
Gj_88F6	UGT76E5	127	40.2	5.5	214.0
Gj_88F6	UGT76E4	474	28.5	8.6	302.0
Gj_88F6	UGT76E1	478	28.0	8.6	301.0
Gj_88F6	UGT76E2	471	29.5	9.6	304.0
Gj_88F6	UGT76E12	478	30.1	8.4	333.0
Gj_88F6	UGT76E11	212	39.2	7.1	314.0
Gj_88F6	UGT85A5	489	30.1	7.8	385.0
Gj_88F6	UGT85A4	482	31.5	6.6	420.0
Gj_88F6	UGT84A3	367	31.6	9.3	280.0
Gj_88F6	UGT84A4	367	32.7	9.5	294.0
Gj_88F6	UGT84A2	384	29.9	8.3	299.0
Gj_88F6	UGT84A1	269	35.3	8.9	306.0
Gj_88F6	UGT84B1	472	28.6	8.7	312.0
Gj_88F6	UGT84B2	358	29.9	9.5	265.0
Gj_88F6	UGT75B1	247	34.8	4.9	360.0
Gj_88F6	UGT75D1	209	37.8	8.1	292.0
Gj_88F6	UGT74F1	471	29.9	9.3	307.0
Gj_88F6	UGT74F2	287	34.5	8.4	312.0
Gj_88F6	UGT74B1	139	38.8	2.9	244.0
Gj_88F6	UGT78D2	140	34.3	2.9	213.0
Gj_88F6	UGT78D1	370	28.6	9.5	218.0
Gj_88F6	UGT71C1	452	32.5	9.1	477.0
Gj_88F6	UGT71C2	491	33.2	8.8	494.0
Gj_88F6	UGT71C3	477	32.5	8.8	476.0
Gj_88F6	UGT71C4	495	35.2	8.7	547.0
Gj_88F6	UGT71C5	498	31.1	9.4	449.0
Gj_88F6	UGT71B8	422	34.6	6.2	528.0
Gj_88F6	UGT71B6	491	29.5	6.3	452.0
Gj_88F6	UGT71B5	462	33.5	6.1	528.0
Gj_88F6	UGT71B1	492	33.9	6.7	533.0
Gj_88F6	UGT88A1	479	45.7	6.5	902.0
Gj_88F6	UGT72E2	475	32.8	5.5	581.0
Gj_88F6	UGT72E3	467	33.0	5.6	608.0
Gj_88F6	UGT72E1	462	34.2	5.6	605.0
Gj_88F6	UGT72D1	460	31.1	5.9	565.0
Gj_88F6	UGT72C1	467	32.5	6.4	539.0
Gj_88F6	UGT72B3	452	35.4	4.2	664.0
Gj_88F6	UGT72B1	473	35.5	4.4	702.0
Gj_88F6	UGT73C3	444	29.1	7.0	360.0
Gj_88F6	UGT73C4	446	29.6	7.8	357.0
Gj_88F6	UGT73C5	492	30.7	9.1	369.0
Gj_88F6	UGT73C6	445	29.9	7.4	363.0
Gj_88F6	UGT73C1	376	35.4	10.4	337.0
Gj_88F6	UGT73C7	320	35.3	8.8	321.0
Gj_88F6	UGT73B2	377	32.1	8.8	323.0
Gj_88F6	UGT73B3	385	33.8	9.1	354.0
Gj_88F6	UGT73B1	228	39.5	7.9	354.0
Gj_88F6	UGT73B4	376	35.6	7.4	427.0
Gj_88F6	UGT73B5	375	34.4	7.7	396.0
Gj_88F6	UGT89B1	482	29.9	7.9	361.0
Gj_88F6	UGT89C1	259	30.1	5.8	292.0
Gj_88F6	VVGT1	140	39.3	2.9	250.0
Gj_88F6	UGT76C4	214	36.0	7.5	287.0
Gm_88E3	UGT76E5	380	28.4	7.4	315.0
Gm_88E3	UGT76E4	409	28.4	6.4	378.0
Gm_88E3	UGT76E1	307	32.2	5.2	373.0
Gm_88E3	UGT76E2	300	33.7	5.3	392.0
Gm_88E3	UGT76E12	360	30.8	5.8	374.0
Gm_88E3	UGT76E11	359	30.6	5.6	359.0
Gm_88E3	UGT85A5	329	34.0	9.4	308.0
Gm_88E3	UGT85A4	206	36.4	6.3	325.0
Gm_88E3	UGT84A3	323	28.2	8.7	258.0
Gm_88E3	UGT84A4	333	29.1	8.4	280.0
Gm_88E3	UGT84A2	331	31.7	8.2	320.0
Gm_88E3	UGT84A1	297	31.0	5.4	331.0
Gm_88E3	UGT84B1	206	35.4	6.3	264.0
Gm_88E3	UGT84B2	335	27.8	7.5	277.0
Gm_88E3	UGT75B1	249	34.1	3.2	364.0
Gm_88E3	UGT75D1	328	29.9	5.2	327.0
Gm_88E3	UGT74F1	208	38.0	8.7	295.0
Gm_88E3	UGT74F2	207	37.7	8.2	304.0
Gm_88E3	UGT74B1	205	40.0	7.8	301.0
Gm_88E3	UGT78D2	323	33.1	9.3	278.0
Gm_88E3	UGT78D1	319	29.5	7.5	256.0
Gm_88E3	UGT71C1	473	29.8	7.6	440.0
Gm_88E3	UGT71C2	465	31.4	8.0	477.0
Gm_88E3	UGT71C3	465	32.9	8.2	473.0
Gm_88E3	UGT71C4	489	31.1	6.7	468.0
Gm_88E3	UGT71C5	480	31.2	7.5	452.0
Gm_88E3	UGT71B8	487	32.6	8.2	481.0
Gm_88E3	UGT71B6	394	32.7	7.4	437.0
Gm_88E3	UGT71B5	483	33.1	6.6	535.0
Gm_88E3	UGT71B1	346	36.4	6.1	497.0
Gm_88E3	UGT88A1	478	45.0	6.1	885.0
Gm_88E3	UGT72E2	364	35.4	5.5	501.0
Gm_88E3	UGT72E3	372	35.5	5.4	528.0
