Protein	Species	Acceptor	Reactive
UGT73Q1	Lycium barbarum	CHAPS	no
UGT73Q1	Lycium barbarum	solanidine	no
UGT73Q1	Lycium barbarum	solasodine	no
UGT73Q1	Lycium barbarum	b-sitosterol	no
UGT73A12	Lycium barbarum	oleanodmycin	no
UGT73A12	Lycium barbarum	Baicalein	yes
UGT73A12	Lycium barbarum	Umbelliferone	no
UGT73A12	Lycium barbarum	4-Methyl-umbelliferone	no
UGT73A12	Lycium barbarum	Sinapic acid	yes
UGT73A12	Lycium barbarum	4-hydroxyl-benzoic acid	no
UGT73A12	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	yes
UGT73A12	Lycium barbarum	3,4-dichloroaniline	no
UGT73A12	Lycium barbarum	3,4-dihydroxylbenzoic acid	yes
UGT73A12	Lycium barbarum	2,5-dihydroxylbenzoic acid	no
UGT73A12	Lycium barbarum	Indole 3-acetate	no
UGT73A12	Lycium barbarum	Gibberellin A3	no
UGT73A12	Lycium barbarum	Gibberellin A4	no
UGT73A12	Lycium barbarum	(?)-Jasmonic acid	no
UGT73A12	Lycium barbarum	Kinetin	yes
UGT73A12	Lycium barbarum	Zeatin	yes
UGT73A12	Lycium barbarum	Luteolin	yes
UGT73A12	Lycium barbarum	Quercetin	yes
UGT73A12	Lycium barbarum	Fisetin	yes
UGT73A12	Lycium barbarum	Kaempferol	yes
UGT73A12	Lycium barbarum	Cinnamic acid	no
UGT73A12	Lycium barbarum	4-hydroxy cinnamic acid	yes
UGT73A12	Lycium barbarum	3,4-dihyroxy cinnamic acid	yes
UGT73A12	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	no
UGT73A12	Lycium barbarum	2-hydroxy cinnamic acid	yes
UGT73A12	Lycium barbarum	3-hydroxy cinnamic acid	yes
UGT73A12	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	yes
UGT73A12	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT73A12	Lycium barbarum	Trans-dihydroquercetin (DHQ)	yes
UGT73A12	Lycium barbarum	novobiocin	no
UGT73A12	Lycium barbarum	Catechin	yes
UGT73A12	Lycium barbarum	Genistein	yes
UGT73A12	Lycium barbarum	Olomoucine	no
UGT73A12	Lycium barbarum	spectinomycin	no
UGT73A12	Lycium barbarum	CHAPS	no
UGT73A12	Lycium barbarum	solanidine	no
UGT73A12	Lycium barbarum	solasodine	no
UGT73A12	Lycium barbarum	b-sitosterol	no
UGT86A5	Lycium barbarum	oleanodmycin	no
UGT86A5	Lycium barbarum	Baicalein	no
UGT86A5	Lycium barbarum	Umbelliferone	no
UGT86A5	Lycium barbarum	4-Methyl-umbelliferone	no
UGT86A5	Lycium barbarum	Sinapic acid	no
UGT86A5	Lycium barbarum	4-hydroxyl-benzoic acid	no
UGT86A5	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	no
UGT86A5	Lycium barbarum	3,4-dichloroaniline	no
UGT86A5	Lycium barbarum	3,4-dihydroxylbenzoic acid	no
UGT86A5	Lycium barbarum	2,5-dihydroxylbenzoic acid	no
UGT86A5	Lycium barbarum	Indole 3-acetate	no
UGT86A5	Lycium barbarum	Gibberellin A3	no
UGT86A5	Lycium barbarum	Gibberellin A4	no
UGT86A5	Lycium barbarum	(?)-Jasmonic acid	no
UGT86A5	Lycium barbarum	Kinetin	no
UGT86A5	Lycium barbarum	Zeatin	no
UGT86A5	Lycium barbarum	Luteolin	yes
UGT86A5	Lycium barbarum	Quercetin	yes
UGT86A5	Lycium barbarum	Fisetin	yes
UGT86A5	Lycium barbarum	Kaempferol	yes
UGT86A5	Lycium barbarum	Cinnamic acid	no
UGT86A5	Lycium barbarum	4-hydroxy cinnamic acid	no
UGT86A5	Lycium barbarum	3,4-dihyroxy cinnamic acid	no
UGT86A5	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	no
UGT86A5	Lycium barbarum	2-hydroxy cinnamic acid	no
UGT86A5	Lycium barbarum	3-hydroxy cinnamic acid	no
UGT86A5	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT86A5	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	no
UGT86A5	Lycium barbarum	Trans-dihydroquercetin (DHQ)	no
UGT86A5	Lycium barbarum	novobiocin	no
UGT86A5	Lycium barbarum	Catechin	no
UGT86A5	Lycium barbarum	Genistein	yes
UGT86A5	Lycium barbarum	Olomoucine	no
UGT86A5	Lycium barbarum	spectinomycin	no
UGT86A5	Lycium barbarum	CHAPS	no
UGT86A5	Lycium barbarum	solanidine	no
UGT86A5	Lycium barbarum	solasodine	no
UGT86A5	Lycium barbarum	b-sitosterol	no
UGT94E2	Lycium barbarum	oleanodmycin	no
UGT94E2	Lycium barbarum	Baicalein	yes
UGT94E2	Lycium barbarum	Umbelliferone	no
UGT94E2	Lycium barbarum	4-Methyl-umbelliferone	no
UGT94E2	Lycium barbarum	Sinapic acid	no
UGT94E2	Lycium barbarum	4-hydroxyl-benzoic acid	no
UGT94E2	Lycium barbarum	a-cyano-4-hydroxyl-cinamic acid	no
UGT94E2	Lycium barbarum	3,4-dichloroaniline	yes
UGT94E2	Lycium barbarum	3,4-dihydroxylbenzoic acid	no
UGT94E2	Lycium barbarum	2,5-dihydroxylbenzoic acid	no
UGT94E2	Lycium barbarum	Indole 3-acetate	no
UGT94E2	Lycium barbarum	Gibberellin A3	no
UGT94E2	Lycium barbarum	Gibberellin A4	no
UGT94E2	Lycium barbarum	(?)-Jasmonic acid	no
UGT94E2	Lycium barbarum	Kinetin	no
UGT94E2	Lycium barbarum	Zeatin	no
UGT94E2	Lycium barbarum	Luteolin	yes
UGT94E2	Lycium barbarum	Quercetin	yes
UGT94E2	Lycium barbarum	Fisetin	yes
UGT94E2	Lycium barbarum	Kaempferol	yes
UGT94E2	Lycium barbarum	Cinnamic acid	no
UGT94E2	Lycium barbarum	4-hydroxy cinnamic acid	no
UGT94E2	Lycium barbarum	3,4-dihyroxy cinnamic acid	no
UGT94E2	Lycium barbarum	4-hydroxy 3-methoxy cinnamic acid	no
UGT94E2	Lycium barbarum	2-hydroxy cinnamic acid	no
UGT94E2	Lycium barbarum	3-hydroxy cinnamic acid	no
UGT94E2	Lycium barbarum	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT94E2	Lycium barbarum	6,7-dihydroxy coumarin (Esculetin)	yes
UGT94E2	Lycium barbarum	Trans-dihydroquercetin (DHQ)	no
UGT94E2	Lycium barbarum	novobiocin	no
UGT94E2	Lycium barbarum	Catechin	yes
UGT94E2	Lycium barbarum	Genistein	yes
UGT94E2	Lycium barbarum	Olomoucine	no
UGT94E2	Lycium barbarum	spectinomycin	no
UGT94E2	Lycium barbarum	CHAPS	no
UGT94E2	Lycium barbarum	solanidine	no
UGT94E2	Lycium barbarum	solasodine	no
UGT94E2	Lycium barbarum	b-sitosterol	no
UGT84C2	Avena strigosa	oleanodmycin	no
UGT84C2	Avena strigosa	Baicalein	yes
UGT84C2	Avena strigosa	Umbelliferone	yes
UGT84C2	Avena strigosa	4-Methyl-umbelliferone	yes
UGT84C2	Avena strigosa	Sinapic acid	yes
UGT84C2	Avena strigosa	4-hydroxyl-benzoic acid	no
UGT84C2	Avena strigosa	a-cyano-4-hydroxyl-cinamic acid	yes
UGT84C2	Avena strigosa	3,4-dichloroaniline	no
UGT84C2	Avena strigosa	3,4-dihydroxylbenzoic acid	yes
UGT84C2	Avena strigosa	2,5-dihydroxylbenzoic acid	no
UGT84C2	Avena strigosa	Indole 3-acetate	no
UGT84C2	Avena strigosa	Gibberellin A3	no
UGT84C2	Avena strigosa	Gibberellin A4	no
UGT84C2	Avena strigosa	(?)-Jasmonic acid	no
UGT84C2	Avena strigosa	Kinetin	no
UGT84C2	Avena strigosa	Zeatin	no
UGT84C2	Avena strigosa	Luteolin	yes
UGT84C2	Avena strigosa	Quercetin	yes
UGT84C2	Avena strigosa	Fisetin	yes
UGT84C2	Avena strigosa	Kaempferol	yes
UGT84C2	Avena strigosa	Cinnamic acid	no
UGT84C2	Avena strigosa	4-hydroxy cinnamic acid	yes
UGT84C2	Avena strigosa	3,4-dihyroxy cinnamic acid	yes
UGT84C2	Avena strigosa	4-hydroxy 3-methoxy cinnamic acid	yes
UGT84C2	Avena strigosa	2-hydroxy cinnamic acid	yes
UGT84C2	Avena strigosa	3-hydroxy cinnamic acid	yes
UGT84C2	Avena strigosa	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT84C2	Avena strigosa	6,7-dihydroxy coumarin (Esculetin)	yes
UGT84C2	Avena strigosa	Trans-dihydroquercetin (DHQ)	yes
UGT84C2	Avena strigosa	novobiocin	no
UGT84C2	Avena strigosa	Catechin	no
UGT84C2	Avena strigosa	Genistein	yes
UGT84C2	Avena strigosa	Olomoucine	no
UGT84C2	Avena strigosa	spectinomycin	no
UGT84C2	Avena strigosa	CHAPS	no
UGT84C2	Avena strigosa	solanidine	no
UGT84C2	Avena strigosa	solasodine	no
UGT84C2	Avena strigosa	b-sitosterol	no
UGT85B2	Avena strigosa	oleanodmycin	no
UGT85B2	Avena strigosa	Baicalein	no
UGT85B2	Avena strigosa	Umbelliferone	no
UGT85B2	Avena strigosa	4-Methyl-umbelliferone	no
UGT85B2	Avena strigosa	Sinapic acid	no
UGT85B2	Avena strigosa	4-hydroxyl-benzoic acid	no
UGT85B2	Avena strigosa	a-cyano-4-hydroxyl-cinamic acid	no
UGT85B2	Avena strigosa	3,4-dichloroaniline	no
UGT85B2	Avena strigosa	3,4-dihydroxylbenzoic acid	no
UGT85B2	Avena strigosa	2,5-dihydroxylbenzoic acid	no
UGT85B2	Avena strigosa	Indole 3-acetate	no
UGT85B2	Avena strigosa	Gibberellin A3	no
UGT85B2	Avena strigosa	Gibberellin A4	no
UGT85B2	Avena strigosa	(?)-Jasmonic acid	no
UGT85B2	Avena strigosa	Kinetin	yes
UGT85B2	Avena strigosa	Zeatin	yes
UGT85B2	Avena strigosa	Luteolin	yes
UGT85B2	Avena strigosa	Quercetin	yes
UGT85B2	Avena strigosa	Fisetin	yes
UGT85B2	Avena strigosa	Kaempferol	yes
UGT85B2	Avena strigosa	Cinnamic acid	no
UGT85B2	Avena strigosa	4-hydroxy cinnamic acid	no
UGT85B2	Avena strigosa	3,4-dihyroxy cinnamic acid	no
UGT85B2	Avena strigosa	4-hydroxy 3-methoxy cinnamic acid	no
UGT85B2	Avena strigosa	2-hydroxy cinnamic acid	no
UGT85B2	Avena strigosa	3-hydroxy cinnamic acid	no
UGT85B2	Avena strigosa	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT85B2	Avena strigosa	6,7-dihydroxy coumarin (Esculetin)	no
UGT85B2	Avena strigosa	Trans-dihydroquercetin (DHQ)	no
UGT85B2	Avena strigosa	novobiocin	no
UGT85B2	Avena strigosa	Catechin	no
UGT85B2	Avena strigosa	Genistein	yes
UGT85B2	Avena strigosa	Olomoucine	no
UGT85B2	Avena strigosa	spectinomycin	no
UGT85B2	Avena strigosa	CHAPS	no
UGT85B2	Avena strigosa	solanidine	no
UGT85B2	Avena strigosa	solasodine	no
UGT85B2	Avena strigosa	b-sitosterol	no
UGT74H5	Avena strigosa	oleanodmycin	no
UGT74H5	Avena strigosa	Baicalein	yes
UGT74H5	Avena strigosa	Umbelliferone	yes
UGT74H5	Avena strigosa	4-Methyl-umbelliferone	yes
UGT74H5	Avena strigosa	Sinapic acid	no
UGT74H5	Avena strigosa	4-hydroxyl-benzoic acid	yes
UGT74H5	Avena strigosa	a-cyano-4-hydroxyl-cinamic acid	no
UGT74H5	Avena strigosa	3,4-dichloroaniline	no
UGT74H5	Avena strigosa	3,4-dihydroxylbenzoic acid	yes
UGT74H5	Avena strigosa	2,5-dihydroxylbenzoic acid	no
UGT74H5	Avena strigosa	Indole 3-acetate	no
UGT74H5	Avena strigosa	Gibberellin A3	no
UGT74H5	Avena strigosa	Gibberellin A4	no
UGT74H5	Avena strigosa	(?)-Jasmonic acid	no
UGT74H5	Avena strigosa	Kinetin	no
UGT74H5	Avena strigosa	Zeatin	no
UGT74H5	Avena strigosa	Luteolin	yes
UGT74H5	Avena strigosa	Quercetin	yes
UGT74H5	Avena strigosa	Fisetin	no
UGT74H5	Avena strigosa	Kaempferol	yes
UGT74H5	Avena strigosa	Cinnamic acid	no
UGT74H5	Avena strigosa	4-hydroxy cinnamic acid	yes
UGT74H5	Avena strigosa	3,4-dihyroxy cinnamic acid	yes
UGT74H5	Avena strigosa	4-hydroxy 3-methoxy cinnamic acid	no
UGT74H5	Avena strigosa	2-hydroxy cinnamic acid	yes
UGT74H5	Avena strigosa	3-hydroxy cinnamic acid	no
UGT74H5	Avena strigosa	7-hydroxy 6-methoxy coumarin (Scopoletin)	yes
UGT74H5	Avena strigosa	6,7-dihydroxy coumarin (Esculetin)	yes
UGT74H5	Avena strigosa	Trans-dihydroquercetin (DHQ)	yes
UGT74H5	Avena strigosa	novobiocin	no
UGT74H5	Avena strigosa	Catechin	no
UGT74H5	Avena strigosa	Genistein	yes
UGT74H5	Avena strigosa	Olomoucine	no
UGT74H5	Avena strigosa	spectinomycin	no
UGT74H5	Avena strigosa	CHAPS	no
UGT74H5	Avena strigosa	solanidine	no
UGT74H5	Avena strigosa	solasodine	no
UGT74H5	Avena strigosa	b-sitosterol	no
UGT88C4	Avena strigosa	oleanodmycin	no
UGT88C4	Avena strigosa	Baicalein	no
UGT88C4	Avena strigosa	Umbelliferone	no
UGT88C4	Avena strigosa	4-Methyl-umbelliferone	yes
UGT88C4	Avena strigosa	Sinapic acid	no
UGT88C4	Avena strigosa	4-hydroxyl-benzoic acid	no
UGT88C4	Avena strigosa	a-cyano-4-hydroxyl-cinamic acid	no
UGT88C4	Avena strigosa	3,4-dichloroaniline	no
UGT88C4	Avena strigosa	3,4-dihydroxylbenzoic acid	no
UGT88C4	Avena strigosa	2,5-dihydroxylbenzoic acid	no
UGT88C4	Avena strigosa	Indole 3-acetate	no
UGT88C4	Avena strigosa	Gibberellin A3	no
UGT88C4	Avena strigosa	Gibberellin A4	no
UGT88C4	Avena strigosa	(?)-Jasmonic acid	no
UGT88C4	Avena strigosa	Kinetin	no
UGT88C4	Avena strigosa	Zeatin	no
UGT88C4	Avena strigosa	Luteolin	yes
UGT88C4	Avena strigosa	Quercetin	yes
UGT88C4	Avena strigosa	Fisetin	no
UGT88C4	Avena strigosa	Kaempferol	yes
UGT88C4	Avena strigosa	Cinnamic acid	no
UGT88C4	Avena strigosa	4-hydroxy cinnamic acid	no
UGT88C4	Avena strigosa	3,4-dihyroxy cinnamic acid	no
UGT88C4	Avena strigosa	4-hydroxy 3-methoxy cinnamic acid	no
UGT88C4	Avena strigosa	2-hydroxy cinnamic acid	no
UGT88C4	Avena strigosa	3-hydroxy cinnamic acid	no
UGT88C4	Avena strigosa	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT88C4	Avena strigosa	6,7-dihydroxy coumarin (Esculetin)	no
UGT88C4	Avena strigosa	Trans-dihydroquercetin (DHQ)	no
UGT88C4	Avena strigosa	novobiocin	yes
UGT88C4	Avena strigosa	Catechin	no
UGT88C4	Avena strigosa	Genistein	no
UGT88C4	Avena strigosa	Olomoucine	no
UGT88C4	Avena strigosa	spectinomycin	no
UGT88C4	Avena strigosa	CHAPS	no
UGT88C4	Avena strigosa	solanidine	no
UGT88C4	Avena strigosa	solasodine	no
UGT88C4	Avena strigosa	b-sitosterol	no
UGT73A5	Avena strigosa	oleanodmycin	no
UGT73A5	Avena strigosa	Baicalein	yes
UGT73A5	Avena strigosa	Umbelliferone	no
UGT73A5	Avena strigosa	4-Methyl-umbelliferone	no
UGT73A5	Avena strigosa	Sinapic acid	no
UGT73A5	Avena strigosa	4-hydroxyl-benzoic acid	yes
UGT73A5	Avena strigosa	a-cyano-4-hydroxyl-cinamic acid	no
UGT73A5	Avena strigosa	3,4-dichloroaniline	no
UGT73A5	Avena strigosa	3,4-dihydroxylbenzoic acid	yes
UGT73A5	Avena strigosa	2,5-dihydroxylbenzoic acid	no
UGT73A5	Avena strigosa	Indole 3-acetate	no
UGT73A5	Avena strigosa	Gibberellin A3	no
UGT73A5	Avena strigosa	Gibberellin A4	no
UGT73A5	Avena strigosa	(?)-Jasmonic acid	no
UGT73A5	Avena strigosa	Kinetin	yes
UGT73A5	Avena strigosa	Zeatin	yes
UGT73A5	Avena strigosa	Luteolin	yes
UGT73A5	Avena strigosa	Quercetin	no
UGT73A5	Avena strigosa	Fisetin	no
UGT73A5	Avena strigosa	Kaempferol	yes
UGT73A5	Avena strigosa	Cinnamic acid	no
UGT73A5	Avena strigosa	4-hydroxy cinnamic acid	yes
UGT73A5	Avena strigosa	3,4-dihyroxy cinnamic acid	no
UGT73A5	Avena strigosa	4-hydroxy 3-methoxy cinnamic acid	no
UGT73A5	Avena strigosa	2-hydroxy cinnamic acid	yes
UGT73A5	Avena strigosa	3-hydroxy cinnamic acid	no
UGT73A5	Avena strigosa	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT73A5	Avena strigosa	6,7-dihydroxy coumarin (Esculetin)	no
UGT73A5	Avena strigosa	Trans-dihydroquercetin (DHQ)	yes
UGT73A5	Avena strigosa	novobiocin	no
UGT73A5	Avena strigosa	Catechin	no
UGT73A5	Avena strigosa	Genistein	yes
UGT73A5	Avena strigosa	Olomoucine	no
UGT73A5	Avena strigosa	spectinomycin	no
UGT73A5	Avena strigosa	CHAPS	no
UGT73A5	Avena strigosa	solanidine	no
UGT73A5	Avena strigosa	solasodine	no
UGT73A5	Avena strigosa	b-sitosterol	no
UGT74H6	Avena strigosa	oleanodmycin	no
UGT74H6	Avena strigosa	Baicalein	no
UGT74H6	Avena strigosa	Umbelliferone	yes
UGT74H6	Avena strigosa	4-Methyl-umbelliferone	yes
UGT74H6	Avena strigosa	Sinapic acid	yes
UGT74H6	Avena strigosa	4-hydroxyl-benzoic acid	no
UGT74H6	Avena strigosa	a-cyano-4-hydroxyl-cinamic acid	no
UGT74H6	Avena strigosa	3,4-dichloroaniline	no
UGT74H6	Avena strigosa	3,4-dihydroxylbenzoic acid	no
UGT74H6	Avena strigosa	2,5-dihydroxylbenzoic acid	no
UGT74H6	Avena strigosa	Indole 3-acetate	no
UGT74H6	Avena strigosa	Gibberellin A3	no
UGT74H6	Avena strigosa	Gibberellin A4	no
UGT74H6	Avena strigosa	(?)-Jasmonic acid	no
UGT74H6	Avena strigosa	Kinetin	yes
UGT74H6	Avena strigosa	Zeatin	yes
UGT74H6	Avena strigosa	Luteolin	no
UGT74H6	Avena strigosa	Quercetin	yes
UGT74H6	Avena strigosa	Fisetin	no
UGT74H6	Avena strigosa	Kaempferol	yes
UGT74H6	Avena strigosa	Cinnamic acid	no
UGT74H6	Avena strigosa	4-hydroxy cinnamic acid	no
UGT74H6	Avena strigosa	3,4-dihyroxy cinnamic acid	no
UGT74H6	Avena strigosa	4-hydroxy 3-methoxy cinnamic acid	no
UGT74H6	Avena strigosa	2-hydroxy cinnamic acid	yes
UGT74H6	Avena strigosa	3-hydroxy cinnamic acid	no
UGT74H6	Avena strigosa	7-hydroxy 6-methoxy coumarin (Scopoletin)	yes
UGT74H6	Avena strigosa	6,7-dihydroxy coumarin (Esculetin)	yes
UGT74H6	Avena strigosa	Trans-dihydroquercetin (DHQ)	no
UGT74H6	Avena strigosa	novobiocin	no
UGT74H6	Avena strigosa	Catechin	yes
UGT74H6	Avena strigosa	Genistein	no
UGT74H6	Avena strigosa	Olomoucine	no
UGT74H6	Avena strigosa	spectinomycin	no
UGT74H6	Avena strigosa	CHAPS	no
UGT74H6	Avena strigosa	solanidine	no
UGT74H6	Avena strigosa	solasodine	no
UGT74H6	Avena strigosa	b-sitosterol	no
UGT75E3	Avena strigosa	oleanodmycin	no
UGT75E3	Avena strigosa	Baicalein	yes
UGT75E3	Avena strigosa	Umbelliferone	yes
UGT75E3	Avena strigosa	4-Methyl-umbelliferone	yes
UGT75E3	Avena strigosa	Sinapic acid	no
UGT75E3	Avena strigosa	4-hydroxyl-benzoic acid	no
UGT75E3	Avena strigosa	a-cyano-4-hydroxyl-cinamic acid	no
UGT75E3	Avena strigosa	3,4-dichloroaniline	no
UGT75E3	Avena strigosa	3,4-dihydroxylbenzoic acid	no
UGT75E3	Avena strigosa	2,5-dihydroxylbenzoic acid	no
UGT75E3	Avena strigosa	Indole 3-acetate	no
UGT75E3	Avena strigosa	Gibberellin A3	no
UGT75E3	Avena strigosa	Gibberellin A4	no
UGT75E3	Avena strigosa	(?)-Jasmonic acid	no
UGT75E3	Avena strigosa	Kinetin	yes
UGT75E3	Avena strigosa	Zeatin	yes
UGT75E3	Avena strigosa	Luteolin	yes
UGT75E3	Avena strigosa	Quercetin	yes
UGT75E3	Avena strigosa	Fisetin	no
UGT75E3	Avena strigosa	Kaempferol	yes
UGT75E3	Avena strigosa	Cinnamic acid	no
UGT75E3	Avena strigosa	4-hydroxy cinnamic acid	yes
UGT75E3	Avena strigosa	3,4-dihyroxy cinnamic acid	yes
UGT75E3	Avena strigosa	4-hydroxy 3-methoxy cinnamic acid	yes
UGT75E3	Avena strigosa	2-hydroxy cinnamic acid	no
UGT75E3	Avena strigosa	3-hydroxy cinnamic acid	no
UGT75E3	Avena strigosa	7-hydroxy 6-methoxy coumarin (Scopoletin)	no
UGT75E3	Avena strigosa	6,7-dihydroxy coumarin (Esculetin)	no
UGT75E3	Avena strigosa	Trans-dihydroquercetin (DHQ)	yes
UGT75E3	Avena strigosa	novobiocin	no
UGT75E3	Avena strigosa	Catechin	yes
UGT75E3	Avena strigosa	Genistein	yes
UGT75E3	Avena strigosa	Olomoucine	no
UGT75E3	Avena strigosa	spectinomycin	no
UGT75E3	Avena strigosa	CHAPS	no
UGT75E3	Avena strigosa	solanidine	no
UGT75E3	Avena strigosa	solasodine	no
UGT75E3	Avena strigosa	b-sitosterol	no
