cas	cid	ID	Description	UGT	Accession	Polyphenol Name	Yield
104594-70-9	5281787	16	SlUGT5 (UGT72)		D7S016	Caffeic Acid Phenethyl Ester	97
2957-21-3	73571	16	SlUGT5 (UGT72)		D7S016	Sakuranetin	8
552-58-9	440735	16	SlUGT5 (UGT72)		D7S016	Eriodictyol	33
480-20-6	122850	16	SlUGT5 (UGT72)		D7S016	Aromadendrin	12
1447-88-7	5281628	16	SlUGT5 (UGT72)		D7S016	Hispidulin	54
548-77-6	5281811	16	SlUGT5 (UGT72)		D7S016	Tectorigenin	14
37308-75-1	6293081	16	SlUGT5 (UGT72)		D7S016	Flavokawain C	61
500-38-9	4534	16	SlUGT5 (UGT72)		D7S016	Nordihydroguaiaretic acid	0
102036-29-3	13846689	16	SlUGT5 (UGT72)		D7S016	Protosappanin B	0
108853-14-1	176096	16	SlUGT5 (UGT72)		D7S016	Dendrophenol	53
520-11-6	5317284	16	SlUGT5 (UGT72)		D7S016	6-Methoxyluteolin	64
41060-15-5	5320053	16	SlUGT5 (UGT72)		D7S016	Neobavaisoflavone	74
19879-32-4	5321775	16	SlUGT5 (UGT72)		D7S016	Bavachin	62
67979-25-3	155011	16	SlUGT5 (UGT72)		D7S016	Aurantio-obtusin	14
18085-97-7	5379096	16	SlUGT5 (UGT72)		D7S016	Jaceosidin	84
906-33-2	5280633	16	SlUGT5 (UGT72)		D7S016	Neochlorogenic acid	0
548-76-5	5464170	16	SlUGT5 (UGT72)		D7S016	Irigenin	27
27208-80-6	5281718	16	SlUGT5 (UGT72)		D7S016	Polydatin	11
500-65-2	5320954	17	RHGt1		Q4R1I9	Rhapontigenin	98
446-72-0	5280961	17	RHGt1		Q4R1I9	Genistein	70
520-36-5	5280443	17	RHGt1		Q4R1I9	Apigenin	94
491-70-3	5280445	17	RHGt1		Q4R1I9	Luteolin	94
4773-96-0	5281647	17	RHGt1		Q4R1I9	Mangiferin	1
3681-93-4	5280441	17	RHGt1		Q4R1I9	Vitexin	0
1126-61-0	70775	17	RHGt1		Q4R1I9	4-Allylpyrocatechol	92
13677-79-7	83651	17	RHGt1		Q4R1I9	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	17	RHGt1		Q4R1I9	Homogentisic acid	0
31721-94-5	5281343	17	RHGt1		Q4R1I9	5,7-Dihydroxychromone	54
1983-81-9	54679630	17	RHGt1		Q4R1I9	4,7-DIHYDROXYCOUMARIN	85
708-53-2	12820	17	RHGt1		Q4R1I9	2',3'-Dihydroxy-4'-methoxyacetophenone	43
529-84-0	5319502	17	RHGt1		Q4R1I9	4-Methylesculetin	86
2107-76-8	5354284	17	RHGt1		Q4R1I9	4-Methyllimetol	88
3843-74-1	689075	17	RHGt1		Q4R1I9	Methyl caffeate acid	97
4707-47-5	238398	17	RHGt1		Q4R1I9	Atraric acid	52
69039-02-7	155240	17	RHGt1		Q4R1I9	Hydroxytyrosol Acetate	97
121-79-9	4947	17	RHGt1		Q4R1I9	Propyl gallate	98
606-12-2	220295	17	RHGt1		Q4R1I9	2,4'-Dihydroxybenzophenone	12
531-95-3	91469	17	RHGt1		Q4R1I9	Equol	30
33626-08-3	6255462	17	RHGt1		Q4R1I9	4'-Methoxyresveratrol	100
86361-55-9	45382232	17	RHGt1		Q4R1I9	Gnetol	62
842-01-3	5413034	17	RHGt1		Q4R1I9	7,8-Dihydroxy-4-phenylcoumarin	56
7758-73-8	5398649	17	RHGt1		Q4R1I9	5,7-Dihydroxy-4-phenylcoumarin	96
32507-66-7	5318650	17	RHGt1		Q4R1I9	Isorhapontigenin	97
17817-31-1	5284649	17	RHGt1		Q4R1I9	6,7,4'-Trihydroxyisoflavone	81
487-52-5	5281222	17	RHGt1		Q4R1I9	Butein	100
20575-57-9	5280448	17	RHGt1		Q4R1I9	Calycosin	51
480-11-5	5320315	17	RHGt1		Q4R1I9	Oroxylin A	60
104594-70-9	5281787	17	RHGt1		Q4R1I9	Caffeic Acid Phenethyl Ester	92
2957-21-3	73571	17	RHGt1		Q4R1I9	Sakuranetin	28
552-58-9	440735	17	RHGt1		Q4R1I9	Eriodictyol	35
480-20-6	122850	17	RHGt1		Q4R1I9	Aromadendrin	5
1447-88-7	5281628	17	RHGt1		Q4R1I9	Hispidulin	84
548-77-6	5281811	17	RHGt1		Q4R1I9	Tectorigenin	45
37308-75-1	6293081	17	RHGt1		Q4R1I9	Flavokawain C	67
500-38-9	4534	17	RHGt1		Q4R1I9	Nordihydroguaiaretic acid	30
102036-29-3	13846689	17	RHGt1		Q4R1I9	Protosappanin B	0
108853-14-1	176096	17	RHGt1		Q4R1I9	Dendrophenol	90
520-11-6	5317284	17	RHGt1		Q4R1I9	6-Methoxyluteolin	77
41060-15-5	5320053	17	RHGt1		Q4R1I9	Neobavaisoflavone	91
19879-32-4	5321775	17	RHGt1		Q4R1I9	Bavachin	60
67979-25-3	155011	17	RHGt1		Q4R1I9	Aurantio-obtusin	29
18085-97-7	5379096	17	RHGt1		Q4R1I9	Jaceosidin	71
906-33-2	5280633	17	RHGt1		Q4R1I9	Neochlorogenic acid	0
548-76-5	5464170	17	RHGt1		Q4R1I9	Irigenin	61
27208-80-6	5281718	17	RHGt1		Q4R1I9	Polydatin	23
500-65-2	5320954	19	UGT88C1		Q8LJ11	Rhapontigenin	71
446-72-0	5280961	19	UGT88C1		Q8LJ11	Genistein	3
520-36-5	5280443	19	UGT88C1		Q8LJ11	Apigenin	0
491-70-3	5280445	19	UGT88C1		Q8LJ11	Luteolin	43
4773-96-0	5281647	19	UGT88C1		Q8LJ11	Mangiferin	0
3681-93-4	5280441	19	UGT88C1		Q8LJ11	Vitexin	0
1126-61-0	70775	19	UGT88C1		Q8LJ11	4-Allylpyrocatechol	84
13677-79-7	83651	19	UGT88C1		Q8LJ11	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	19	UGT88C1		Q8LJ11	Homogentisic acid	0
31721-94-5	5281343	19	UGT88C1		Q8LJ11	5,7-Dihydroxychromone	54
1983-81-9	54679630	19	UGT88C1		Q8LJ11	4,7-DIHYDROXYCOUMARIN	0
708-53-2	12820	19	UGT88C1		Q8LJ11	2',3'-Dihydroxy-4'-methoxyacetophenone	16
529-84-0	5319502	19	UGT88C1		Q8LJ11	4-Methylesculetin	97
2107-76-8	5354284	19	UGT88C1		Q8LJ11	4-Methyllimetol	95
3843-74-1	689075	19	UGT88C1		Q8LJ11	Methyl caffeate acid	98
4707-47-5	238398	19	UGT88C1		Q8LJ11	Atraric acid	45
69039-02-7	155240	19	UGT88C1		Q8LJ11	Hydroxytyrosol Acetate	100
121-79-9	4947	19	UGT88C1		Q8LJ11	Propyl gallate	99
606-12-2	220295	19	UGT88C1		Q8LJ11	2,4'-Dihydroxybenzophenone	6
531-95-3	91469	19	UGT88C1		Q8LJ11	Equol	0
33626-08-3	6255462	19	UGT88C1		Q8LJ11	4'-Methoxyresveratrol	55
86361-55-9	45382232	19	UGT88C1		Q8LJ11	Gnetol	7
842-01-3	5413034	19	UGT88C1		Q8LJ11	7,8-Dihydroxy-4-phenylcoumarin	76
7758-73-8	5398649	19	UGT88C1		Q8LJ11	5,7-Dihydroxy-4-phenylcoumarin	82
32507-66-7	5318650	19	UGT88C1		Q8LJ11	Isorhapontigenin	51
17817-31-1	5284649	19	UGT88C1		Q8LJ11	6,7,4'-Trihydroxyisoflavone	26
487-52-5	5281222	19	UGT88C1		Q8LJ11	Butein	45
20575-57-9	5280448	19	UGT88C1		Q8LJ11	Calycosin	0
480-11-5	5320315	19	UGT88C1		Q8LJ11	Oroxylin A	3
104594-70-9	5281787	19	UGT88C1		Q8LJ11	Caffeic Acid Phenethyl Ester	77
2957-21-3	73571	19	UGT88C1		Q8LJ11	Sakuranetin	0
552-58-9	440735	19	UGT88C1		Q8LJ11	Eriodictyol	8
480-20-6	122850	19	UGT88C1		Q8LJ11	Aromadendrin	0
1447-88-7	5281628	19	UGT88C1		Q8LJ11	Hispidulin	0
548-77-6	5281811	19	UGT88C1		Q8LJ11	Tectorigenin	0
37308-75-1	6293081	19	UGT88C1		Q8LJ11	Flavokawain C	0
500-38-9	4534	19	UGT88C1		Q8LJ11	Nordihydroguaiaretic acid	0
102036-29-3	13846689	19	UGT88C1		Q8LJ11	Protosappanin B	0
108853-14-1	176096	19	UGT88C1		Q8LJ11	Dendrophenol	0
520-11-6	5317284	19	UGT88C1		Q8LJ11	6-Methoxyluteolin	16
41060-15-5	5320053	19	UGT88C1		Q8LJ11	Neobavaisoflavone	0
19879-32-4	5321775	19	UGT88C1		Q8LJ11	Bavachin	0
67979-25-3	155011	19	UGT88C1		Q8LJ11	Aurantio-obtusin	1
18085-97-7	5379096	19	UGT88C1		Q8LJ11	Jaceosidin	3
906-33-2	5280633	19	UGT88C1		Q8LJ11	Neochlorogenic acid	0
548-76-5	5464170	19	UGT88C1		Q8LJ11	Irigenin	0
27208-80-6	5281718	19	UGT88C1		Q8LJ11	Polydatin	0
500-65-2	5320954	36	UGT72B10	UGT72B10	B6EWZ3	Rhapontigenin	97
446-72-0	5280961	36	UGT72B10	UGT72B10	B6EWZ3	Genistein	23
520-36-5	5280443	36	UGT72B10	UGT72B10	B6EWZ3	Apigenin	55
491-70-3	5280445	36	UGT72B10	UGT72B10	B6EWZ3	Luteolin	59
4773-96-0	5281647	36	UGT72B10	UGT72B10	B6EWZ3	Mangiferin	1
3681-93-4	5280441	36	UGT72B10	UGT72B10	B6EWZ3	Vitexin	0
1126-61-0	70775	36	UGT72B10	UGT72B10	B6EWZ3	4-Allylpyrocatechol	73
13677-79-7	83651	36	UGT72B10	UGT72B10	B6EWZ3	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	36	UGT72B10	UGT72B10	B6EWZ3	Homogentisic acid	1
31721-94-5	5281343	36	UGT72B10	UGT72B10	B6EWZ3	5,7-Dihydroxychromone	24
1983-81-9	54679630	36	UGT72B10	UGT72B10	B6EWZ3	4,7-DIHYDROXYCOUMARIN	1
708-53-2	12820	36	UGT72B10	UGT72B10	B6EWZ3	2',3'-Dihydroxy-4'-methoxyacetophenone	50
529-84-0	5319502	36	UGT72B10	UGT72B10	B6EWZ3	4-Methylesculetin	73
2107-76-8	5354284	36	UGT72B10	UGT72B10	B6EWZ3	4-Methyllimetol	16
3843-74-1	689075	36	UGT72B10	UGT72B10	B6EWZ3	Methyl caffeate acid	29
4707-47-5	238398	36	UGT72B10	UGT72B10	B6EWZ3	Atraric acid	51
69039-02-7	155240	36	UGT72B10	UGT72B10	B6EWZ3	Hydroxytyrosol Acetate	9
121-79-9	4947	36	UGT72B10	UGT72B10	B6EWZ3	Propyl gallate	71
606-12-2	220295	36	UGT72B10	UGT72B10	B6EWZ3	2,4'-Dihydroxybenzophenone	17
531-95-3	91469	36	UGT72B10	UGT72B10	B6EWZ3	Equol	10
33626-08-3	6255462	36	UGT72B10	UGT72B10	B6EWZ3	4'-Methoxyresveratrol	99
86361-55-9	45382232	36	UGT72B10	UGT72B10	B6EWZ3	Gnetol	92
842-01-3	5413034	36	UGT72B10	UGT72B10	B6EWZ3	7,8-Dihydroxy-4-phenylcoumarin	15
7758-73-8	5398649	36	UGT72B10	UGT72B10	B6EWZ3	5,7-Dihydroxy-4-phenylcoumarin	6
32507-66-7	5318650	36	UGT72B10	UGT72B10	B6EWZ3	Isorhapontigenin	63
17817-31-1	5284649	36	UGT72B10	UGT72B10	B6EWZ3	6,7,4'-Trihydroxyisoflavone	25
487-52-5	5281222	36	UGT72B10	UGT72B10	B6EWZ3	Butein	52
20575-57-9	5280448	36	UGT72B10	UGT72B10	B6EWZ3	Calycosin	17
480-11-5	5320315	36	UGT72B10	UGT72B10	B6EWZ3	Oroxylin A	27
104594-70-9	5281787	36	UGT72B10	UGT72B10	B6EWZ3	Caffeic Acid Phenethyl Ester	81
2957-21-3	73571	36	UGT72B10	UGT72B10	B6EWZ3	Sakuranetin	0
552-58-9	440735	36	UGT72B10	UGT72B10	B6EWZ3	Eriodictyol	4
480-20-6	122850	36	UGT72B10	UGT72B10	B6EWZ3	Aromadendrin	0
1447-88-7	5281628	36	UGT72B10	UGT72B10	B6EWZ3	Hispidulin	90
548-77-6	5281811	36	UGT72B10	UGT72B10	B6EWZ3	Tectorigenin	23
37308-75-1	6293081	36	UGT72B10	UGT72B10	B6EWZ3	Flavokawain C	72
500-38-9	4534	36	UGT72B10	UGT72B10	B6EWZ3	Nordihydroguaiaretic acid	13
102036-29-3	13846689	36	UGT72B10	UGT72B10	B6EWZ3	Protosappanin B	0
108853-14-1	176096	36	UGT72B10	UGT72B10	B6EWZ3	Dendrophenol	22
520-11-6	5317284	36	UGT72B10	UGT72B10	B6EWZ3	6-Methoxyluteolin	54
41060-15-5	5320053	36	UGT72B10	UGT72B10	B6EWZ3	Neobavaisoflavone	64
19879-32-4	5321775	36	UGT72B10	UGT72B10	B6EWZ3	Bavachin	8
67979-25-3	155011	36	UGT72B10	UGT72B10	B6EWZ3	Aurantio-obtusin	6
18085-97-7	5379096	36	UGT72B10	UGT72B10	B6EWZ3	Jaceosidin	62
906-33-2	5280633	36	UGT72B10	UGT72B10	B6EWZ3	Neochlorogenic acid	0
548-76-5	5464170	36	UGT72B10	UGT72B10	B6EWZ3	Irigenin	25
27208-80-6	5281718	36	UGT72B10	UGT72B10	B6EWZ3	Polydatin	0
500-65-2	5320954	38	UGT88E3	UGT88E3	A6BM07	Rhapontigenin	93
446-72-0	5280961	38	UGT88E3	UGT88E3	A6BM07	Genistein	79
520-36-5	5280443	38	UGT88E3	UGT88E3	A6BM07	Apigenin	98
491-70-3	5280445	38	UGT88E3	UGT88E3	A6BM07	Luteolin	98
4773-96-0	5281647	38	UGT88E3	UGT88E3	A6BM07	Mangiferin	0
3681-93-4	5280441	38	UGT88E3	UGT88E3	A6BM07	Vitexin	9
1126-61-0	70775	38	UGT88E3	UGT88E3	A6BM07	4-Allylpyrocatechol	2
13677-79-7	83651	38	UGT88E3	UGT88E3	A6BM07	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	38	UGT88E3	UGT88E3	A6BM07	Homogentisic acid	0
31721-94-5	5281343	38	UGT88E3	UGT88E3	A6BM07	5,7-Dihydroxychromone	57
1983-81-9	54679630	38	UGT88E3	UGT88E3	A6BM07	4,7-DIHYDROXYCOUMARIN	37
708-53-2	12820	38	UGT88E3	UGT88E3	A6BM07	2',3'-Dihydroxy-4'-methoxyacetophenone	0
529-84-0	5319502	38	UGT88E3	UGT88E3	A6BM07	4-Methylesculetin	56
2107-76-8	5354284	38	UGT88E3	UGT88E3	A6BM07	4-Methyllimetol	95
3843-74-1	689075	38	UGT88E3	UGT88E3	A6BM07	Methyl caffeate acid	96
4707-47-5	238398	38	UGT88E3	UGT88E3	A6BM07	Atraric acid	66
69039-02-7	155240	38	UGT88E3	UGT88E3	A6BM07	Hydroxytyrosol Acetate	9
121-79-9	4947	38	UGT88E3	UGT88E3	A6BM07	Propyl gallate	24
606-12-2	220295	38	UGT88E3	UGT88E3	A6BM07	2,4'-Dihydroxybenzophenone	74
531-95-3	91469	38	UGT88E3	UGT88E3	A6BM07	Equol	95
33626-08-3	6255462	38	UGT88E3	UGT88E3	A6BM07	4'-Methoxyresveratrol	99
86361-55-9	45382232	38	UGT88E3	UGT88E3	A6BM07	Gnetol	97
842-01-3	5413034	38	UGT88E3	UGT88E3	A6BM07	7,8-Dihydroxy-4-phenylcoumarin	92
7758-73-8	5398649	38	UGT88E3	UGT88E3	A6BM07	5,7-Dihydroxy-4-phenylcoumarin	61
32507-66-7	5318650	38	UGT88E3	UGT88E3	A6BM07	Isorhapontigenin	94
17817-31-1	5284649	38	UGT88E3	UGT88E3	A6BM07	6,7,4'-Trihydroxyisoflavone	80
487-52-5	5281222	38	UGT88E3	UGT88E3	A6BM07	Butein	98
20575-57-9	5280448	38	UGT88E3	UGT88E3	A6BM07	Calycosin	76
480-11-5	5320315	38	UGT88E3	UGT88E3	A6BM07	Oroxylin A	67
104594-70-9	5281787	38	UGT88E3	UGT88E3	A6BM07	Caffeic Acid Phenethyl Ester	93
2957-21-3	73571	38	UGT88E3	UGT88E3	A6BM07	Sakuranetin	71
552-58-9	440735	38	UGT88E3	UGT88E3	A6BM07	Eriodictyol	84
480-20-6	122850	38	UGT88E3	UGT88E3	A6BM07	Aromadendrin	67
1447-88-7	5281628	38	UGT88E3	UGT88E3	A6BM07	Hispidulin	100
548-77-6	5281811	38	UGT88E3	UGT88E3	A6BM07	Tectorigenin	95
37308-75-1	6293081	38	UGT88E3	UGT88E3	A6BM07	Flavokawain C	81
500-38-9	4534	38	UGT88E3	UGT88E3	A6BM07	Nordihydroguaiaretic acid	69
102036-29-3	13846689	38	UGT88E3	UGT88E3	A6BM07	Protosappanin B	7
108853-14-1	176096	38	UGT88E3	UGT88E3	A6BM07	Dendrophenol	2
520-11-6	5317284	38	UGT88E3	UGT88E3	A6BM07	6-Methoxyluteolin	93
41060-15-5	5320053	38	UGT88E3	UGT88E3	A6BM07	Neobavaisoflavone	94
19879-32-4	5321775	38	UGT88E3	UGT88E3	A6BM07	Bavachin	100
67979-25-3	155011	38	UGT88E3	UGT88E3	A6BM07	Aurantio-obtusin	28
18085-97-7	5379096	38	UGT88E3	UGT88E3	A6BM07	Jaceosidin	93
906-33-2	5280633	38	UGT88E3	UGT88E3	A6BM07	Neochlorogenic acid	0
548-76-5	5464170	38	UGT88E3	UGT88E3	A6BM07	Irigenin	64
27208-80-6	5281718	38	UGT88E3	UGT88E3	A6BM07	Polydatin	13
500-65-2	5320954	41	UGT88A10	UGT88A10	D2KY82	Rhapontigenin	98
446-72-0	5280961	41	UGT88A10	UGT88A10	D2KY82	Genistein	77
520-36-5	5280443	41	UGT88A10	UGT88A10	D2KY82	Apigenin	77
491-70-3	5280445	41	UGT88A10	UGT88A10	D2KY82	Luteolin	97
4773-96-0	5281647	41	UGT88A10	UGT88A10	D2KY82	Mangiferin	0
3681-93-4	5280441	41	UGT88A10	UGT88A10	D2KY82	Vitexin	0
1126-61-0	70775	41	UGT88A10	UGT88A10	D2KY82	4-Allylpyrocatechol	100
13677-79-7	83651	41	UGT88A10	UGT88A10	D2KY82	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	41	UGT88A10	UGT88A10	D2KY82	Homogentisic acid	0
31721-94-5	5281343	41	UGT88A10	UGT88A10	D2KY82	5,7-Dihydroxychromone	56
1983-81-9	54679630	41	UGT88A10	UGT88A10	D2KY82	4,7-DIHYDROXYCOUMARIN	9
708-53-2	12820	41	UGT88A10	UGT88A10	D2KY82	2',3'-Dihydroxy-4'-methoxyacetophenone	74
529-84-0	5319502	41	UGT88A10	UGT88A10	D2KY82	4-Methylesculetin	95
2107-76-8	5354284	41	UGT88A10	UGT88A10	D2KY82	4-Methyllimetol	98
3843-74-1	689075	41	UGT88A10	UGT88A10	D2KY82	Methyl caffeate acid	98
4707-47-5	238398	41	UGT88A10	UGT88A10	D2KY82	Atraric acid	0
69039-02-7	155240	41	UGT88A10	UGT88A10	D2KY82	Hydroxytyrosol Acetate	0
121-79-9	4947	41	UGT88A10	UGT88A10	D2KY82	Propyl gallate	100
606-12-2	220295	41	UGT88A10	UGT88A10	D2KY82	2,4'-Dihydroxybenzophenone	0
531-95-3	91469	41	UGT88A10	UGT88A10	D2KY82	Equol	3
33626-08-3	6255462	41	UGT88A10	UGT88A10	D2KY82	4'-Methoxyresveratrol	99
86361-55-9	45382232	41	UGT88A10	UGT88A10	D2KY82	Gnetol	53
842-01-3	5413034	41	UGT88A10	UGT88A10	D2KY82	7,8-Dihydroxy-4-phenylcoumarin	78
7758-73-8	5398649	41	UGT88A10	UGT88A10	D2KY82	5,7-Dihydroxy-4-phenylcoumarin	94
32507-66-7	5318650	41	UGT88A10	UGT88A10	D2KY82	Isorhapontigenin	89
17817-31-1	5284649	41	UGT88A10	UGT88A10	D2KY82	6,7,4'-Trihydroxyisoflavone	71
487-52-5	5281222	41	UGT88A10	UGT88A10	D2KY82	Butein	88
20575-57-9	5280448	41	UGT88A10	UGT88A10	D2KY82	Calycosin	83
480-11-5	5320315	41	UGT88A10	UGT88A10	D2KY82	Oroxylin A	53
104594-70-9	5281787	41	UGT88A10	UGT88A10	D2KY82	Caffeic Acid Phenethyl Ester	100
2957-21-3	73571	41	UGT88A10	UGT88A10	D2KY82	Sakuranetin	6
552-58-9	440735	41	UGT88A10	UGT88A10	D2KY82	Eriodictyol	74
480-20-6	122850	41	UGT88A10	UGT88A10	D2KY82	Aromadendrin	0
1447-88-7	5281628	41	UGT88A10	UGT88A10	D2KY82	Hispidulin	89
548-77-6	5281811	41	UGT88A10	UGT88A10	D2KY82	Tectorigenin	37
37308-75-1	6293081	41	UGT88A10	UGT88A10	D2KY82	Flavokawain C	40
500-38-9	4534	41	UGT88A10	UGT88A10	D2KY82	Nordihydroguaiaretic acid	79
102036-29-3	13846689	41	UGT88A10	UGT88A10	D2KY82	Protosappanin B	14
108853-14-1	176096	41	UGT88A10	UGT88A10	D2KY82	Dendrophenol	28
520-11-6	5317284	41	UGT88A10	UGT88A10	D2KY82	6-Methoxyluteolin	0
41060-15-5	5320053	41	UGT88A10	UGT88A10	D2KY82	Neobavaisoflavone	58
19879-32-4	5321775	41	UGT88A10	UGT88A10	D2KY82	Bavachin	53
67979-25-3	155011	41	UGT88A10	UGT88A10	D2KY82	Aurantio-obtusin	15
18085-97-7	5379096	41	UGT88A10	UGT88A10	D2KY82	Jaceosidin	43
906-33-2	5280633	41	UGT88A10	UGT88A10	D2KY82	Neochlorogenic acid	0
548-76-5	5464170	41	UGT88A10	UGT88A10	D2KY82	Irigenin	25
27208-80-6	5281718	41	UGT88A10	UGT88A10	D2KY82	Polydatin	0
500-65-2	5320954	42	UGT88J1	UGT88J1	A0A0A1H7N8	Rhapontigenin	43
446-72-0	5280961	42	UGT88J1	UGT88J1	A0A0A1H7N8	Genistein	33
520-36-5	5280443	42	UGT88J1	UGT88J1	A0A0A1H7N8	Apigenin	92
491-70-3	5280445	42	UGT88J1	UGT88J1	A0A0A1H7N8	Luteolin	92
4773-96-0	5281647	42	UGT88J1	UGT88J1	A0A0A1H7N8	Mangiferin	3
3681-93-4	5280441	42	UGT88J1	UGT88J1	A0A0A1H7N8	Vitexin	0
1126-61-0	70775	42	UGT88J1	UGT88J1	A0A0A1H7N8	4-Allylpyrocatechol	7
13677-79-7	83651	42	UGT88J1	UGT88J1	A0A0A1H7N8	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	42	UGT88J1	UGT88J1	A0A0A1H7N8	Homogentisic acid	0
31721-94-5	5281343	42	UGT88J1	UGT88J1	A0A0A1H7N8	5,7-Dihydroxychromone	17
1983-81-9	54679630	42	UGT88J1	UGT88J1	A0A0A1H7N8	4,7-DIHYDROXYCOUMARIN	0
708-53-2	12820	42	UGT88J1	UGT88J1	A0A0A1H7N8	2',3'-Dihydroxy-4'-methoxyacetophenone	2
529-84-0	5319502	42	UGT88J1	UGT88J1	A0A0A1H7N8	4-Methylesculetin	6
2107-76-8	5354284	42	UGT88J1	UGT88J1	A0A0A1H7N8	4-Methyllimetol	94
3843-74-1	689075	42	UGT88J1	UGT88J1	A0A0A1H7N8	Methyl caffeate acid	11
4707-47-5	238398	42	UGT88J1	UGT88J1	A0A0A1H7N8	Atraric acid	3
69039-02-7	155240	42	UGT88J1	UGT88J1	A0A0A1H7N8	Hydroxytyrosol Acetate	0
121-79-9	4947	42	UGT88J1	UGT88J1	A0A0A1H7N8	Propyl gallate	95
606-12-2	220295	42	UGT88J1	UGT88J1	A0A0A1H7N8	2,4'-Dihydroxybenzophenone	16
531-95-3	91469	42	UGT88J1	UGT88J1	A0A0A1H7N8	Equol	23
33626-08-3	6255462	42	UGT88J1	UGT88J1	A0A0A1H7N8	4'-Methoxyresveratrol	20
86361-55-9	45382232	42	UGT88J1	UGT88J1	A0A0A1H7N8	Gnetol	7
842-01-3	5413034	42	UGT88J1	UGT88J1	A0A0A1H7N8	7,8-Dihydroxy-4-phenylcoumarin	12
7758-73-8	5398649	42	UGT88J1	UGT88J1	A0A0A1H7N8	5,7-Dihydroxy-4-phenylcoumarin	83
32507-66-7	5318650	42	UGT88J1	UGT88J1	A0A0A1H7N8	Isorhapontigenin	42
17817-31-1	5284649	42	UGT88J1	UGT88J1	A0A0A1H7N8	6,7,4'-Trihydroxyisoflavone	75
487-52-5	5281222	42	UGT88J1	UGT88J1	A0A0A1H7N8	Butein	26
20575-57-9	5280448	42	UGT88J1	UGT88J1	A0A0A1H7N8	Calycosin	66
480-11-5	5320315	42	UGT88J1	UGT88J1	A0A0A1H7N8	Oroxylin A	55
104594-70-9	5281787	42	UGT88J1	UGT88J1	A0A0A1H7N8	Caffeic Acid Phenethyl Ester	33
2957-21-3	73571	42	UGT88J1	UGT88J1	A0A0A1H7N8	Sakuranetin	13
552-58-9	440735	42	UGT88J1	UGT88J1	A0A0A1H7N8	Eriodictyol	16
480-20-6	122850	42	UGT88J1	UGT88J1	A0A0A1H7N8	Aromadendrin	27
1447-88-7	5281628	42	UGT88J1	UGT88J1	A0A0A1H7N8	Hispidulin	100
548-77-6	5281811	42	UGT88J1	UGT88J1	A0A0A1H7N8	Tectorigenin	55
37308-75-1	6293081	42	UGT88J1	UGT88J1	A0A0A1H7N8	Flavokawain C	86
500-38-9	4534	42	UGT88J1	UGT88J1	A0A0A1H7N8	Nordihydroguaiaretic acid	38
102036-29-3	13846689	42	UGT88J1	UGT88J1	A0A0A1H7N8	Protosappanin B	0
108853-14-1	176096	42	UGT88J1	UGT88J1	A0A0A1H7N8	Dendrophenol	2
520-11-6	5317284	42	UGT88J1	UGT88J1	A0A0A1H7N8	6-Methoxyluteolin	75
41060-15-5	5320053	42	UGT88J1	UGT88J1	A0A0A1H7N8	Neobavaisoflavone	95
19879-32-4	5321775	42	UGT88J1	UGT88J1	A0A0A1H7N8	Bavachin	96
67979-25-3	155011	42	UGT88J1	UGT88J1	A0A0A1H7N8	Aurantio-obtusin	7
18085-97-7	5379096	42	UGT88J1	UGT88J1	A0A0A1H7N8	Jaceosidin	97
906-33-2	5280633	42	UGT88J1	UGT88J1	A0A0A1H7N8	Neochlorogenic acid	0
548-76-5	5464170	42	UGT88J1	UGT88J1	A0A0A1H7N8	Irigenin	60
27208-80-6	5281718	42	UGT88J1	UGT88J1	A0A0A1H7N8	Polydatin	0
500-65-2	5320954	43	UGT72B19	UGT72B19	A0A0A1H7P3	Rhapontigenin	72
446-72-0	5280961	43	UGT72B19	UGT72B19	A0A0A1H7P3	Genistein	4
520-36-5	5280443	43	UGT72B19	UGT72B19	A0A0A1H7P3	Apigenin	16
491-70-3	5280445	43	UGT72B19	UGT72B19	A0A0A1H7P3	Luteolin	46
4773-96-0	5281647	43	UGT72B19	UGT72B19	A0A0A1H7P3	Mangiferin	0
3681-93-4	5280441	43	UGT72B19	UGT72B19	A0A0A1H7P3	Vitexin	0
1126-61-0	70775	43	UGT72B19	UGT72B19	A0A0A1H7P3	4-Allylpyrocatechol	29
13677-79-7	83651	43	UGT72B19	UGT72B19	A0A0A1H7P3	2,3,4-Trihydroxybenzoic acid	0
451-13-8	780	43	UGT72B19	UGT72B19	A0A0A1H7P3	Homogentisic acid	100
31721-94-5	5281343	43	UGT72B19	UGT72B19	A0A0A1H7P3	5,7-Dihydroxychromone	20
1983-81-9	54679630	43	UGT72B19	UGT72B19	A0A0A1H7P3	4,7-DIHYDROXYCOUMARIN	6
708-53-2	12820	43	UGT72B19	UGT72B19	A0A0A1H7P3	2',3'-Dihydroxy-4'-methoxyacetophenone	42
529-84-0	5319502	43	UGT72B19	UGT72B19	A0A0A1H7P3	4-Methylesculetin	0
2107-76-8	5354284	43	UGT72B19	UGT72B19	A0A0A1H7P3	4-Methyllimetol	85
